observation_id,split
12L12D:AB12,train
12L12D:AB14,train
12L12D:AB15,train
12L12D:AB16,train
12L12D:AB18,train
12L12D:AB19,train
12L12D:AB20,train
12L12D:AB21,train
12L12D:AB27,train
12L12D:AB28,train
12L12D:AB30,train
12L12D:AC3,train
12L12D:AC4,train
12L12D:AC5,train
12L12D:AC8,train
12L12D:AC9,train
12L12D:AC13,train
12L12D:AC14,train
12L12D:AC15,train
12L12D:AC19,train
12L12D:AC22,train
12L12D:AC23,train
12L12D:AC24,train
12L12D:AC25,train
12L12D:AC26,train
12L12D:AC27,train
12L12D:AC29,train
12L12D:AC30,train
12L12D:AC33,train
12L12D:AC34,train
12L12D:AC35,train
12L12D:AD3,train
12L12D:AD6,train
12L12D:AD8,train
12L12D:AD9,train
12L12D:AD11,train
12L12D:AD13,train
12L12D:AD14,train
12L12D:AD16,train
12L12D:AD18,train
12L12D:AE3,train
12L12D:AE4,train
12L12D:AE5,train
12L12D:AE7,train
12L12D:AE10,train
12L12D:AE11,train
12L12D:AE13,train
12L12D:AE15,train
12L12D:AE19,train
12L12D:AE20,train
12L12D:AE21,train
12L12D:AE23,train
12L12D:AE24,train
12L12D:AE25,train
12L12D:AE26,train
12L12D:AE28,train
12L12D:AE30,train
12L12D:AF3,train
12L12D:AF6,train
12L12D:AF9,train
12L12D:AF10,train
12L12D:AF11,train
12L12D:AF12,train
12L12D:AF13,train
12L12D:AF14,train
12L12D:AF15,train
12L12D:AF16,train
12L12D:AF17,train
12L12D:AF23,train
12L12D:AF24,train
12L12D:AF26,train
12L12D:AF27,train
12L12D:AG3,train
12L12D:AG5,train
12L12D:AG6,train
12L12D:AG7,train
12L12D:AG8,train
12L12D:AG12,train
12L12D:AG14,train
12L12D:AG15,train
12L12D:AG16,train
12L12D:AG18,train
12L12D:AG19,train
12L12D:AG20,train
12L12D:AG21,train
12L12D:AG27,train
12L12D:AG28,train
12L12D:AG30,train
12L12D:AG32,train
12L12D:AH3,train
12L12D:AH4,train
12L12D:AH5,train
12L12D:AH8,train
12L12D:AH9,train
12L12D:AH13,train
12L12D:AH14,train
12L12D:AH15,train
12L12D:AH19,train
12L12D:AH22,train
12L12D:AH23,train
12L12D:AH24,train
12L12D:AH25,train
12L12D:AH26,train
12L12D:AH27,train
12L12D:AH29,train
12L12D:AH30,train
12L12D:AH33,train
12L12D:AI3,train
12L12D:AI6,train
12L12D:AI8,train
12L12D:AI9,train
12L12D:AI11,train
12L12D:AI13,train
12L12D:AI14,train
12L12D:AI16,train
12L12D:AI18,train
12L12D:AJ3,train
12L12D:AJ4,train
12L12D:AJ5,train
12L12D:AJ7,train
12L12D:AJ10,train
12L12D:AJ11,train
12L12D:AJ13,train
12L12D:AJ15,train
12L12D:AJ19,train
12L12D:AJ20,train
12L12D:AJ21,train
12L12D:AJ23,train
12L12D:AJ24,train
12L12D:AJ25,train
12L12D:AJ26,train
12L12D:AJ28,train
12L12D:AJ30,train
12L12D:AJ32,train
12L12D:AJ34,train
12L12D:B4,val
12L12D:B8,val
12L12D:B19,val
12L12D:B22,val
12L12D:B25,val
12L12D:C4,val
12L12D:C17,val
12L12D:C23,val
12L12D:C24,val
12L12D:C25,val
12L12D:C33,val
12L12D:D12,val
12L12D:D16,val
12L12D:D21,val
12L12D:E5,val
12L12D:F9,val
12L12D:F12,val
12L12D:F16,val
12L12D:F17,val
12L12D:F18,val
12L12D:F33,val
12L12D:F36,val
12L12D:G4,val
12L12D:G8,val
12L12D:G19,val
12L12D:G22,val
12L12D:G25,val
12L12D:G31,val
12L12D:H4,val
12L12D:H17,val
12L12D:H23,val
12L12D:H24,val
12L12D:H25,val
12L12D:I12,val
12L12D:I16,val
12L12D:I21,val
12L12D:I28,val
12L12D:I31,val
12L12D:I38,val
12L12D:J5,val
12L12D:J12,val
12L12D:J17,val
12L12D:K9,val
12L12D:K12,val
12L12D:K16,val
12L12D:K17,val
12L12D:K18,val
12L12D:K33,val
12L12D:K36,val
12L12D:L4,val
12L12D:L8,val
12L12D:L19,val
12L12D:L22,val
12L12D:L25,val
12L12D:L31,val
12L12D:M4,val
12L12D:M17,val
12L12D:M23,val
12L12D:M24,val
12L12D:M25,val
12L12D:N12,val
12L12D:N16,val
12L12D:N21,val
12L12D:N28,val
12L12D:N31,val
12L12D:N38,val
12L12D:N40,val
12L12D:O5,val
12L12D:O12,val
12L12D:O17,val
12L12D:P9,val
12L12D:P12,val
12L12D:P16,val
12L12D:P17,val
12L12D:P18,val
12L12D:P33,val
12L12D:P36,val
12L12D:Q4,val
12L12D:Q8,val
12L12D:Q19,val
12L12D:Q22,val
12L12D:Q25,val
12L12D:R4,val
12L12D:R17,val
12L12D:R23,val
12L12D:R24,val
12L12D:R25,val
12L12D:S12,val
12L12D:S16,val
12L12D:S21,val
12L12D:S28,val
12L12D:S31,val
12L12D:T12,val
12L12D:T17,val
12L12D:U9,val
12L12D:U12,val
12L12D:U16,val
12L12D:U17,val
12L12D:U18,val
12L12D:U33,val
12L12D:V4,val
12L12D:V8,val
12L12D:V19,val
12L12D:V22,val
12L12D:V25,val
12L12D:V31,val
12L12D:W4,val
12L12D:W17,val
12L12D:W23,val
12L12D:W24,val
12L12D:W25,val
12L12D:X12,val
12L12D:X16,val
12L12D:X21,val
12L12D:X28,val
12L12D:X31,val
12L12D:Y5,val
12L12D:Y12,val
12L12D:Z9,val
12L12D:Z12,val
12L12D:Z16,val
12L12D:Z17,val
12L12D:Z18,val
12L12D:Z33,val
12L12D:AA4,val
12L12D:AA8,val
12L12D:AA19,val
12L12D:AA22,val
12L12D:AA25,val
12L12D:AB4,val
12L12D:AB17,val
12L12D:AB23,val
12L12D:AB24,val
12L12D:AB25,val
12L12D:AC12,val
12L12D:AC16,val
12L12D:AC21,val
12L12D:AC28,val
12L12D:AC31,val
12L12D:AD5,val
12L12D:AD12,val
12L12D:AD17,val
12L12D:AE9,val
12L12D:AE12,val
12L12D:AE16,val
12L12D:AE17,val
12L12D:AE18,val
12L12D:AF4,val
12L12D:AF8,val
12L12D:AF19,val
12L12D:AF22,val
12L12D:AF25,val
12L12D:AG4,val
12L12D:AG17,val
12L12D:AG23,val
12L12D:AG24,val
12L12D:AG25,val
12L12D:AH12,val
12L12D:AH16,val
12L12D:AH21,val
12L12D:AH28,val
12L12D:AH31,val
12L12D:AI5,val
12L12D:AI12,val
12L12D:AI17,val
12L12D:AJ9,val
12L12D:AJ12,val
12L12D:AJ16,val
12L12D:AJ17,val
12L12D:AJ18,val
12L12D:AJ33,val
12L12D:B5,test
12L12D:B7,test
12L12D:B18,test
12L12D:B20,test
12L12D:B21,test
12L12D:B28,test
12L12D:B29,test
12L12D:C9,test
12L12D:C10,test
12L12D:C11,test
12L12D:C13,test
12L12D:C22,test
12L12D:C26,test
12L12D:C29,test
12L12D:C31,test
12L12D:D6,test
12L12D:D7,test
12L12D:D10,test
12L12D:D11,test
12L12D:D17,test
12L12D:D18,test
12L12D:D20,test
12L12D:E4,test
12L12D:E7,test
12L12D:F6,test
12L12D:F8,test
12L12D:F14,test
12L12D:F22,test
12L12D:F27,test
12L12D:F29,test
12L12D:F31,test
12L12D:F35,test
12L12D:G5,test
12L12D:G7,test
12L12D:G18,test
12L12D:G20,test
12L12D:G21,test
12L12D:G28,test
12L12D:G29,test
12L12D:H9,test
12L12D:H10,test
12L12D:H11,test
12L12D:H13,test
12L12D:H22,test
12L12D:H26,test
12L12D:I6,test
12L12D:I7,test
12L12D:I10,test
12L12D:I11,test
12L12D:I17,test
12L12D:I18,test
12L12D:I20,test
12L12D:I32,test
12L12D:I36,test
12L12D:J4,test
12L12D:J7,test
12L12D:J10,test
12L12D:J15,test
12L12D:K6,test
12L12D:K8,test
12L12D:K14,test
12L12D:K22,test
12L12D:K27,test
12L12D:K29,test
12L12D:K31,test
12L12D:K35,test
12L12D:L5,test
12L12D:L7,test
12L12D:L18,test
12L12D:L20,test
12L12D:L21,test
12L12D:L28,test
12L12D:L29,test
12L12D:L35,test
12L12D:M9,test
12L12D:M10,test
12L12D:M11,test
12L12D:M13,test
12L12D:M22,test
12L12D:M26,test
12L12D:M29,test
12L12D:N6,test
12L12D:N7,test
12L12D:N10,test
12L12D:N11,test
12L12D:N17,test
12L12D:N18,test
12L12D:N20,test
12L12D:N32,test
12L12D:N36,test
12L12D:O4,test
12L12D:O7,test
12L12D:O10,test
12L12D:O15,test
12L12D:P6,test
12L12D:P8,test
12L12D:P14,test
12L12D:P22,test
12L12D:P27,test
12L12D:P29,test
12L12D:P31,test
12L12D:P35,test
12L12D:Q5,test
12L12D:Q7,test
12L12D:Q18,test
12L12D:Q20,test
12L12D:Q21,test
12L12D:Q28,test
12L12D:R9,test
12L12D:R10,test
12L12D:R11,test
12L12D:R13,test
12L12D:R22,test
12L12D:R26,test
12L12D:S6,test
12L12D:S7,test
12L12D:S10,test
12L12D:S11,test
12L12D:S17,test
12L12D:S18,test
12L12D:S20,test
12L12D:S32,test
12L12D:T4,test
12L12D:T7,test
12L12D:T10,test
12L12D:T15,test
12L12D:U6,test
12L12D:U8,test
12L12D:U14,test
12L12D:U22,test
12L12D:U27,test
12L12D:U29,test
12L12D:U31,test
12L12D:V5,test
12L12D:V7,test
12L12D:V18,test
12L12D:V21,test
12L12D:V28,test
12L12D:V29,test
12L12D:V35,test
12L12D:W9,test
12L12D:W10,test
12L12D:W11,test
12L12D:W13,test
12L12D:W22,test
12L12D:W29,test
12L12D:X6,test
12L12D:X7,test
12L12D:X10,test
12L12D:X11,test
12L12D:X17,test
12L12D:X18,test
12L12D:X20,test
12L12D:Y4,test
12L12D:Y10,test
12L12D:Y15,test
12L12D:Z6,test
12L12D:Z8,test
12L12D:Z14,test
12L12D:Z22,test
12L12D:Z27,test
12L12D:Z29,test
12L12D:Z31,test
12L12D:Z35,test
12L12D:AA5,test
12L12D:AA7,test
12L12D:AA18,test
12L12D:AA20,test
12L12D:AA21,test
12L12D:AB9,test
12L12D:AB10,test
12L12D:AB11,test
12L12D:AB13,test
12L12D:AB22,test
12L12D:AB26,test
12L12D:AB29,test
12L12D:AC6,test
12L12D:AC7,test
12L12D:AC10,test
12L12D:AC11,test
12L12D:AC17,test
12L12D:AC18,test
12L12D:AC20,test
12L12D:AC32,test
12L12D:AD4,test
12L12D:AD7,test
12L12D:AD10,test
12L12D:AD15,test
12L12D:AE6,test
12L12D:AE8,test
12L12D:AE14,test
12L12D:AE22,test
12L12D:AE27,test
12L12D:AE29,test
12L12D:AF5,test
12L12D:AF7,test
12L12D:AF18,test
12L12D:AF20,test
12L12D:AF21,test
12L12D:AG9,test
12L12D:AG10,test
12L12D:AG11,test
12L12D:AG13,test
12L12D:AG22,test
12L12D:AG26,test
12L12D:AG29,test
12L12D:AG31,test
12L12D:AH6,test
12L12D:AH7,test
12L12D:AH10,test
12L12D:AH11,test
12L12D:AH17,test
12L12D:AH18,test
12L12D:AH20,test
12L12D:AH32,test
12L12D:AI4,test
12L12D:AI7,test
12L12D:AI15,test
12L12D:AJ6,test
12L12D:AJ8,test
12L12D:AJ14,test
12L12D:AJ22,test
12L12D:AJ27,test
12L12D:AJ29,test
12L12D:AJ31,test
