year,LON,LAT,date,daysFromStart,T2M,T2M_MAX,T2M_MIN,PRECTOT,WS2M,RH2M,T2MDEW,n,N,RTA,SPV,VPD,ETP,PETP,GDD,FRUE,T2M_RANGE,Elevation,dap
2018,-93.175521,44.993053,2018-06-29,47,27.66,33.16,21.32,0.31,2.75,80.62,23.8,9.471,15.588,41.74,0.21189856,0.85757728,12.9860797,-12.67608,18.24,1,11.84,281,46
2018,-93.175521,44.993053,2018-06-30,48,25.9,28.8,20.84,0.61,1.74,77.5,21.61,3.766,15.579,41.699,0.18706743,0.62938907,7.93197283,-7.3219728,15.82,0.93058824,7.96,281,47
2018,-93.175521,44.993053,2018-07-01,49,20.22,24.37,16.12,20.29,1.95,84.94,17.51,6.088,15.568,41.655,0.14678447,0.44028617,7.48244996,12.80755,11.245,0.66147059,8.25,281,48
2018,-93.175521,44.993053,2018-07-02,50,23.27,29.42,16.07,0.17,1.97,76.38,18.52,14.396,15.557,41.606,0.16777356,0.83270945,13.3503858,-13.180386,13.745,0.80852941,13.35,281,49
2018,-93.175521,44.993053,2018-07-03,51,24.02,29.08,18.12,0.37,2.27,80.38,20.23,4.448,15.544,41.554,0.17550953,0.68012067,7.60195806,-7.2319581,14.6,0.85882353,10.96,281,50
2018,-93.175521,44.993053,2018-07-04,52,26.33,31.21,21.44,6.15,1.64,84.88,23.39,2.268,15.53,41.497,0.20220273,0.67438441,5.51381276,0.63618724,17.325,1,9.77,281,51
2018,-93.175521,44.993053,2018-07-05,53,22.44,26.15,17.26,4.24,1.88,73.88,17.16,12.51,15.515,41.436,0.15875354,0.72313658,12.9620247,-8.7220247,12.705,0.74735294,8.89,281,52
2018,-93.175521,44.993053,2018-07-06,54,21.17,26.62,13.5,0,1.14,68.38,14.69,12.951,15.499,41.37,0.14532383,0.84541047,12.8793026,-12.879303,11.06,0.65058824,13.12,281,53
2018,-93.175521,44.993053,2018-07-07,55,22.58,28.04,16.23,0,2.39,70.19,16.55,14.417,15.482,41.301,0.16243199,0.93377096,13.3277795,-13.327779,13.135,0.77264706,11.81,281,54
2018,-93.175521,44.993053,2018-07-08,56,24.55,31.39,18.08,0,2.65,65.44,17.44,14.433,15.463,41.227,0.1862419,1.34138305,13.6163213,-13.616321,15.735,0.92558824,13.31,281,55
2018,-93.175521,44.993053,2018-07-09,57,24.31,29.97,18.67,2.87,1.69,72.94,18.85,11.473,15.444,41.15,0.18225534,1.01721707,12.3132938,-9.4432938,15.32,0.90117647,11.3,281,56
2018,-93.175521,44.993053,2018-07-10,58,23.13,28.62,16.48,0.01,0.84,68.38,16.58,6.388,15.423,41.068,0.16605012,1.00988417,8.162871,-8.152871,13.55,0.79705882,12.14,281,57
2018,-93.175521,44.993053,2018-07-11,59,25.69,31.62,18.9,3.16,2.16,75.19,20.69,5.622,15.402,40.983,0.19139018,0.97859849,10.6562203,-7.4962203,16.26,0.95647059,12.72,281,58
2018,-93.175521,44.993053,2018-07-12,60,25.56,31.36,21.33,27.19,1.85,81.56,22.04,6.739,15.379,40.893,0.2024106,0.91126536,10.8631031,16.3268969,17.345,1,10.03,281,59
2018,-93.175521,44.993053,2018-07-13,61,22.6,26.61,19.82,4.58,0.88,79.62,18.7,2.059,15.355,40.799,0.17198965,0.74183685,5.12046385,-0.5404639,14.215,0.83617647,6.79,281,60
2018,-93.175521,44.993053,2018-07-14,62,24.13,30.07,16.58,0,0.95,70.25,17.93,12.709,15.331,40.702,0.17298919,1.01848554,12.8078456,-12.807846,14.325,0.84264706,13.49,281,61
2018,-93.175521,44.993053,2018-07-15,63,23.68,30.24,17.7,0.09,1.47,74.12,18.56,7.498,15.305,40.6,0.17894933,1.02577328,10.9976542,-10.907654,14.97,0.88058824,12.54,281,62
2018,-93.175521,44.993053,2018-07-16,64,21.12,27.66,12.93,0,1.58,64.62,13.74,15.839,15.278,40.494,0.14718136,1.02646916,13.2918565,-13.291856,11.295,0.66441176,14.73,281,63
2018,-93.175521,44.993053,2018-07-17,65,20.33,25.58,13.5,0,1.02,65.38,13.32,15.389,15.251,40.385,0.14128395,0.88373244,13.0569587,-13.056959,10.54,0.62,12.08,281,64
2018,-93.175521,44.993053,2018-07-18,66,21.33,27.48,13.84,0,0.97,69.88,15.21,6.309,15.222,40.271,0.15010627,0.89596254,10.6586931,-10.658693,11.66,0.68588235,13.64,281,65
2018,-93.175521,44.993053,2018-07-19,67,19.48,23.28,16.9,15.3,3,86.81,17.2,1.116,15.193,40.154,0.14555985,0.42898721,2.95411156,12.3458884,11.09,0.65235294,6.38,281,66
2018,-93.175521,44.993053,2018-07-20,68,20.97,25.41,17.4,2.47,2.62,84.62,18.09,4.041,15.163,40.032,0.15622907,0.54096742,7.79131726,-5.3213173,12.405,0.72970588,8.01,281,67
2018,-93.175521,44.993053,2018-07-21,69,21.53,26.59,15.83,0.09,1.93,78.88,17.37,11.152,15.132,39.907,0.15460642,0.65590005,11.9272523,-11.837252,12.21,0.71823529,10.76,281,68
2018,-93.175521,44.993053,2018-07-22,70,21.24,27.25,14.91,0.15,1.39,77.56,16.8,10.428,15.1,39.778,0.15353259,0.74339879,11.6444616,-11.494462,12.08,0.71058824,12.34,281,69
2018,-93.175521,44.993053,2018-07-23,71,22.09,27.75,16.19,0.14,1.21,75.31,17.25,8.319,15.067,39.645,0.16101207,0.81419388,10.2961742,-10.156174,12.97,0.76294118,11.56,281,70
2018,-93.175521,44.993053,2018-07-24,72,21.27,27.23,14.26,0,1.7,68.94,14.78,15.476,15.034,39.509,0.15079442,0.93838285,12.949473,-12.949473,11.745,0.69088235,12.97,281,71
2018,-93.175521,44.993053,2018-07-25,73,20.76,26.44,15.64,6.05,1.81,75.31,16.08,3.669,14.999,39.369,0.15320345,0.78575727,7.34806956,-1.2980696,12.04,0.70823529,10.8,281,72
2018,-93.175521,44.993053,2018-07-26,74,17.16,21.33,12.8,0.71,2.28,73.94,12.28,2.88,14.964,39.224,0.12333331,0.57938762,5.79757893,-5.0875789,8.065,0.47441176,8.53,281,73
2018,-93.175521,44.993053,2018-07-27,75,18.09,24.32,10.03,0,1.52,65.94,10.96,10.216,14.929,39.077,0.12408785,0.82681788,10.9329209,-10.932921,8.175,0.48088235,14.29,281,74
2018,-93.175521,44.993053,2018-07-28,76,20.3,25.9,13.38,0.14,0.85,60.88,12.09,10.578,14.892,38.925,0.14205338,1.02757227,11.3924019,-11.252402,10.64,0.62588235,12.52,281,75
2018,-93.175521,44.993053,2018-07-29,77,20.91,26.99,13.67,0.49,0.84,62.94,13.04,8.625,14.855,38.77,0.14745973,1.06224062,10.4776599,-9.9876599,11.33,0.66647059,13.32,281,76
2018,-93.175521,44.993053,2018-07-30,78,22.43,27.39,16.14,0.04,0.9,59.12,13.68,11.67,14.817,38.611,0.15926254,1.17542436,11.5350309,-11.495031,12.765,0.75088235,11.25,281,77
2018,-93.175521,44.993053,2018-07-31,79,22.42,28.6,15.94,0,1.24,62,14.32,14.303,14.779,38.449,0.16360159,1.2305237,12.4415899,-12.44159,13.27,0.78058824,12.66,281,78
2018,-93.175521,44.993053,2018-08-01,80,19.85,26.3,13.62,4.33,2.25,75.81,15.28,2.707,14.74,38.283,0.14453943,0.75420452,6.63136333,-2.3013633,10.96,0.64470588,12.68,281,79
2018,-93.175521,44.993053,2018-08-02,81,16.81,22.6,10.84,0.04,0.9,69.06,10.66,5.604,14.7,38.114,0.12099198,0.73713579,9.08220383,-9.0422038,7.72,0.45411765,11.76,281,80
2018,-93.175521,44.993053,2018-08-03,82,21.39,28.19,13.28,10.98,2.21,80.56,17.56,3.435,14.66,37.941,0.15071332,0.66609119,8.09171936,2.88828064,11.735,0.69029412,14.91,281,81
2018,-93.175521,44.993053,2018-08-04,83,21.56,24.57,19.08,6.83,2.43,89.44,19.74,1.142,14.62,37.765,0.15977293,0.34704057,3.34058539,3.48941461,12.825,0.75441176,5.49,281,82
2018,-93.175521,44.993053,2018-08-05,84,23.41,27.65,19.76,0.89,1.33,86.94,20.96,3.987,14.578,37.585,0.17647997,0.52275441,7.58425837,-6.6942584,14.705,0.865,7.89,281,83
2018,-93.175521,44.993053,2018-08-06,85,22.65,27.08,16.78,0.08,1.23,71.25,16.74,6.634,14.536,37.402,0.16066943,0.84043417,8.62634906,-8.5463491,12.93,0.76058824,10.3,281,84
2018,-93.175521,44.993053,2018-08-07,86,21.65,25.95,17.34,4.14,0.66,77,17.28,2.356,14.494,37.215,0.1582459,0.69329317,5.52792618,-1.3879262,12.645,0.74382353,8.61,281,85
2018,-93.175521,44.993053,2018-08-08,87,23.45,30.83,15.64,0.08,1.76,78.44,18.95,11.97,14.451,37.026,0.17217102,0.9225162,11.6163001,-11.5363,14.235,0.83735294,15.19,281,86
2018,-93.175521,44.993053,2018-08-09,88,23.83,29.95,17.58,0,1.27,68.88,17.25,9.854,14.408,36.832,0.17703654,1.15182996,10.9883367,-10.988337,14.765,0.86852941,12.37,281,87
2018,-93.175521,44.993053,2018-08-10,89,24.01,29.75,16.82,0,1.11,59.94,15.14,12.887,14.364,36.636,0.17262516,1.32834648,11.769198,-11.769198,14.285,0.84029412,12.93,281,88
2018,-93.175521,44.993053,2018-08-11,90,24.1,30.62,16.17,0,0.77,61.56,15.83,5.38,14.32,36.437,0.17362782,1.3185373,9.26626972,-9.2662697,14.395,0.84676471,14.45,281,89
2019,-93.175521,44.994108,2019-05-30,1,18.9,26.83,9.98,0.02,1.02,65.62,11.74,5.825,15.303,40.985,0.13279523,0.99939577,9.94050949,-9.9205095,9.405,0.55323529,16.85,281,0
2019,-93.175521,44.994108,2019-05-31,2,20.92,28.19,12.91,3.03,1.79,80.56,17.19,5.251,15.329,41.071,0.14921966,0.69425555,10.3749536,-7.3449536,11.55,0.67941176,15.28,281,1
2019,-93.175521,44.994108,2019-06-01,3,15.62,20.96,10.19,0.07,2,73.06,10.33,8.133,15.354,41.153,0.1134898,0.60689071,11.1250087,-11.055009,6.575,0.38676471,10.77,281,2
2019,-93.175521,44.994108,2019-06-02,4,14.98,21.69,7.8,0.01,1.54,69.75,8.88,9.798,15.378,41.231,0.10830187,0.68750477,11.1520088,-11.142009,6.345,0.33794118,13.89,281,3
2019,-93.175521,44.994108,2019-06-03,5,17.7,25.91,9.36,0,1.94,73.81,12.62,6.57,15.401,41.304,0.12728579,0.79896933,10.2617368,-10.261737,8.635,0.50794118,16.55,281,4
2019,-93.175521,44.994108,2019-06-04,6,20.55,27.12,14.95,9.43,1.57,87.88,18.35,7.563,15.422,41.374,0.15316235,0.53532256,9.76144881,-0.3314488,12.035,0.70794118,12.17,281,5
2019,-93.175521,44.994108,2019-06-05,7,20.6,25.75,15.12,1.17,1.5,84,17.55,12.812,15.443,41.439,0.14829749,0.50899916,12.8889459,-11.718946,11.435,0.67264706,10.63,281,6
2019,-93.175521,44.994108,2019-06-06,8,20.95,29.11,11.31,0,0.87,69.19,14.18,15.418,15.463,41.5,0.14650719,1.06820197,13.548974,-13.548974,11.21,0.65941176,17.8,281,7
2019,-93.175521,44.994108,2019-06-07,9,23.01,29.51,17.24,0,1.98,72.19,17.33,13.262,15.481,41.557,0.17344515,1.06766815,13.363821,-13.363821,14.375,0.84558824,12.27,281,8
2019,-93.175521,44.994108,2019-06-08,10,22.08,28.06,16.19,0,2.33,74,16.74,15.909,15.499,41.61,0.16234563,0.91075221,14.0134147,-14.013415,13.125,0.77205882,11.87,281,9
2019,-93.175521,44.994108,2019-06-09,11,16.99,20.46,10.99,2.01,2.51,78.38,13.09,3.251,15.515,41.658,0.11444954,0.3521476,5.09125723,-3.0812572,6.725,0.39558824,9.47,281,10
2019,-93.175521,44.994108,2019-06-10,12,16.45,22.97,8.58,0.04,1.7,67.12,9.66,12.501,15.53,41.703,0.11477098,0.75982801,12.1865179,-12.146518,6.985,0.39852941,14.39,281,11
2019,-93.175521,44.994108,2019-06-11,13,14.29,16.77,11.52,4.37,1.33,87.12,12.16,1.132,15.544,41.743,0.10467833,0.21678735,3.11572216,1.25427784,5.145,0.30264706,5.25,281,12
2019,-93.175521,44.994108,2019-06-12,14,14.23,19.37,8.86,0.53,2.43,71.06,8.41,11.257,15.557,41.779,0.10449989,0.58982431,12.2493624,-11.719362,5.185,0.30088235,10.51,281,13
2019,-93.175521,44.994108,2019-06-13,15,14.19,20.58,5.54,0,1.12,61.06,6,14.447,15.568,41.81,0.0983872,0.72952048,12.7860811,-12.786081,5.79,0.23882353,15.04,281,14
2019,-93.175521,44.994108,2019-06-14,16,20.23,25.58,12.7,4.14,2.65,76.62,15.8,8.661,15.579,41.838,0.1382414,0.57854811,11.0667941,-6.9267941,10.14,0.59647059,12.88,281,15
2019,-93.175521,44.994108,2019-06-15,17,18.51,22.23,15.07,2.4,2.05,84.69,15.69,3.251,15.588,41.861,0.13459005,0.41452763,6.15650062,-3.7565006,9.65,0.56764706,7.16,281,16
2019,-93.175521,44.994108,2019-06-16,18,16.43,21.87,11.89,0.17,1.7,79.19,12.63,6.86,15.596,41.88,0.12207308,0.54581744,9.90930631,-9.7393063,7.88,0.46352941,9.98,281,17
2019,-93.175521,44.994108,2019-06-17,19,17.61,23.23,11.76,2.45,1.25,82.06,14.47,2.976,15.603,41.894,0.12630519,0.46660479,6.33488849,-3.8848885,8.495,0.49970588,11.47,281,18
2019,-93.175521,44.994108,2019-06-18,20,17.37,22.59,10.77,0.27,1.12,77.75,13.09,4.548,15.608,41.905,0.12072297,0.51002003,9.71940547,-9.4494055,7.68,0.45176471,11.82,281,19
2019,-93.175521,44.994108,2019-06-19,21,18.04,23.39,11.15,0,1.33,74.25,12.98,4.221,15.613,41.911,0.12474265,0.60529547,9.8185171,-9.8185171,8.27,0.48647059,12.24,281,20
2019,-93.175521,44.994108,2019-06-20,22,17.3,20.35,13.94,2.94,1.54,79.94,13.57,2.604,15.616,41.913,0.12388168,0.43635477,5.92257995,-2.98258,8.145,0.47911765,6.41,281,21
2019,-93.175521,44.994108,2019-06-21,23,17.62,21.46,14.13,1.58,2.25,85.69,15.15,1.893,15.618,41.911,0.12841437,0.36324882,6.09086148,-4.5108615,8.795,0.51735294,7.33,281,22
2019,-93.175521,44.994108,2019-06-22,24,18.82,23.6,12.96,0.21,2.16,76.38,14.19,3.011,15.618,41.904,0.13188734,0.58499815,6.12026674,-5.9102667,9.28,0.54588235,10.64,281,23
2019,-93.175521,44.994108,2019-06-23,25,20.43,24.94,16.98,6.42,0.86,89.5,18.51,1.271,15.618,41.893,0.15254696,0.41474921,4.44191258,1.97808742,11.96,0.70352941,7.96,281,24
2019,-93.175521,44.994108,2019-06-24,26,18.1,22.24,14.48,9.8,1.79,85.81,15.53,2.886,15.616,41.878,0.13246778,0.40154395,7.28465767,2.51534233,9.36,0.55058824,7.76,281,25
2019,-93.175521,44.994108,2019-06-25,27,19.9,25.23,14.12,0.07,2.33,74.81,14.93,13.678,15.613,41.859,0.14232351,0.71356699,13.1015059,-13.031506,10.675,0.62794118,11.11,281,26
2019,-93.175521,44.994108,2019-06-26,28,21.18,27.7,13.47,0,0.98,69.19,14.9,6.253,15.608,41.835,0.14950128,0.93499562,9.92488281,-9.9248828,11.585,0.68147059,14.23,281,27
2019,-93.175521,44.994108,2019-06-27,29,21.83,26.15,17,9.82,1.37,89.69,20,1.47,15.603,41.808,0.1576554,0.32625339,3.68349039,6.13650961,12.575,0.73970588,9.15,281,28
2019,-93.175521,44.994108,2019-06-28,30,23.56,28.13,18.8,0.28,1.23,81.69,19.96,4.443,15.596,41.776,0.17426843,0.65686145,9.0892932,-8.8092932,14.465,0.85088235,9.33,281,29
2019,-93.175521,44.994108,2019-06-29,31,24.69,30.64,17.47,0.01,1.19,77.94,20.25,7.805,15.588,41.74,0.17974753,0.82402668,12.0664402,-12.05644,15.055,0.88558824,13.17,281,30
2019,-93.175521,44.994108,2019-06-30,32,24.69,28.25,21.64,21.17,1.83,94.69,23.8,2.63,15.579,41.699,0.18828703,0.26259315,7.67284727,13.4971527,15.945,0.93794118,6.61,281,31
2019,-93.175521,44.994108,2019-07-01,33,21.23,23.53,18.05,39.7,1.33,92.12,19.88,1.245,15.568,41.655,0.15115982,0.16465445,4.05859452,35.6414055,11.79,0.69352941,5.48,281,32
2019,-93.175521,44.994108,2019-07-02,34,22.62,28.46,16.46,1.53,1.01,77.06,18.04,6.188,15.557,41.606,0.16525974,0.80816932,9.12041798,-7.590418,13.46,0.79176471,12,281,33
2019,-93.175521,44.994108,2019-07-03,35,23.47,28.69,17.61,0.8,1.2,78.44,19.31,4.601,15.544,41.554,0.1714013,0.73391911,10.1779526,-9.3779526,14.15,0.83235294,11.08,281,34
2019,-93.175521,44.994108,2019-07-04,36,23.05,26.58,19.93,5.82,0.9,90.44,21.37,6.313,15.53,41.497,0.17235255,0.35919338,9.42983842,-3.6098384,14.255,0.83852941,6.65,281,35
2019,-93.175521,44.994108,2019-07-05,37,22.8,26.98,18.83,3.81,1.5,85.38,20.05,2.299,15.515,41.435,0.16919892,0.52213206,7.00915069,-3.1991507,13.905,0.81794118,8.15,281,36
2019,-93.175521,44.994108,2019-07-06,38,21.8,27.01,17.01,0.83,1.57,77.38,17.36,6.721,15.499,41.37,0.16135532,0.77078905,10.7249283,-9.8949283,13.01,0.76529412,10,281,37
2019,-93.175521,44.994108,2019-07-07,39,22.63,28.75,15.48,0.26,0.57,74,17.24,7.943,15.482,41.301,0.16225931,0.88604026,11.1139548,-10.853955,13.115,0.77147059,13.27,281,38
2019,-93.175521,44.994108,2019-07-08,40,23.42,27.98,18.4,0.25,1.76,76.5,18.73,7.891,15.463,41.227,0.17176316,0.78532602,11.3508873,-11.100887,14.19,0.83470588,9.58,281,39
2019,-93.175521,44.994108,2019-07-09,41,23.57,27.56,19.12,8.34,2.42,85.81,20.98,2.931,15.444,41.15,0.17312587,0.46506401,5.72156184,2.61843816,14.34,0.84352941,8.44,281,40
